record,lat,long,site,cbwf_pres,period,record.year,lyn site number
1,-28.7256,136.016582,AC1,0,2024,2024,10
2,-30.40942244,135.4825054,BB1,1,2024,2024,
3,-30.5743,135.4483,BB10,1,2024,2024,
4,-30.40523664,135.5290864,BB2,1,2024,2024,
5,-30.35262769,135.5729678,BB3,1,2024,2024,
6,-30.36448649,135.6304577,BB4,1,2024,2024,
7,-30.31846367,135.5370567,BB5,1,2024,2024,
8,-30.282658,135.392721,BB6,1,2024,2024,
9,-30.363391,135.390739,BB7,1,2024,2024,
10,-30.78987453,135.394221,BB8,0,2024,2024,
11,-30.80607002,135.3803034,BB9,0,2024,2024,
12,-29.67554,138.02374,CA1,0,2024,2024,19
13,-29.6399,137.8787,CA2,0,2024,2024,27
14,-30.962752,135.725066,CO1,1,2024,2024,33
15,-30.92839,135.43208,CO2,1,2024,2024,35
16,-29.07596,134.85352,CP2,1,2024,2024,34
17,-29.573833,135.078713,IN1,1,2024,2024,38
18,-29.34734,134.996643,IN2,0,2024,2024,
19,-26.971665,134.293191,LA1,0,2024,2024,5
20,-30.587721,138.389509,LC1,0,2024,2024,32
21,-29.147734,134.354344,MC1,1,2024,2024,28
22,-30.32286883,135.7518325,ME1,1,2024,2024,
23,-30.11232653,135.8593188,ME2,0,2024,2024,
24,-30.237196,135.255273,ME3,1,2024,2024,
25,-32.4427542,136.0721403,MI1,0,2024,2024,
26,-30.205699,138.610536,ML1,0,2024,2024,31
27,-30.083712,138.865289,ML2,0,2024,2024,40
28,-30.237196,135.255273,ML3,0,2024,2024,
29,-29.768166,135.131822,MP1,1,2024,2024,12
30,-29.907716,135.14024,MP2,1,2024,2024,15
31,-32.162913,136.555504,NO1,0,2024,2024,
32,-32.178747,136.480012,NO2,0,2024,2024,17
33,-30.5648932,134.9819397,NW1,1,2024,2024,
34,-29.68092,135.62864,PH1,1,2024,2024,
35,-27.40609,135.30053,TO1,0,2024,2024,2
36,-27.28819,134.994516,TO2,0,2024,2024,3
37,-27.216871,134.775636,TO3,0,2024,2024,4
38,-28.91736,136.344653,WC1,0,2024,2024,11
39,-27.338662,133.943086,WH1,0,2024,2024,14
40,-27.295842,133.680776,WH2,0,2024,2024,
41,-29.948783,137.947214,WI1,0,2024,2024,23
42,-29.9818,137.97718,WI3,0,2024,2024,
43,-30.634598,134.967261,WIL1,1,2024,2024,36
44,-30.605242,134.976536,WIL2,1,2024,2024,37
45,-30.21555556,138.6,ML1,1,1990,1999,31
46,-30.08361111,138.8652778,ML2,0,1990,1999,40
47,-29.94833333,137.9472222,WI1,0,1990,1999,23
48,-29.81527778,138.0705556,WI2,0,1990,1999,24
49,-29.64166667,137.9138889,CA2,0,1990,1999,27
50,-30.92916667,135.4333333,CO2,1,1990,1999,35
