site,lat,long,CBWF
AC1,-28.7256,136.016582,0
BB1,-30.40942244,135.4825054,9
BB10,-30.5743,135.4483,9
BB2,-30.40523664,135.5290864,6
BB3,-30.35262769,135.5729678,12
BB4,-30.36448649,135.6304577,5
BB5,-30.31846367,135.5370567,10
BB6,-30.282658,135.392721,12
BB7,-30.363391,135.390739,4
BB8,-30.78987453,135.394221,0
BB9,-30.80607002,135.3803034,0
CA1,-29.67554,138.02374,0
CA2,-29.6399,137.8787,0
CO1,-30.962752,135.725066,2
CO2,-30.92839,135.43208,4
CP2,-29.07596,134.85352,5
IN1,-29.573833,135.078713,4
IN2,-29.34734,134.996643,0
LA1,-26.971665,134.293191,0
LC1,-30.587721,138.389509,0
MC1,-29.147734,134.354344,2
ME1,-30.32286883,135.7518325,11
ME2,-30.11232653,135.8593188,0
ME3,-30.237196,135.255273,11
MI1,-32.4427542,136.0721403,0
ML1,-30.205699,138.610536,0
ML2,-30.083712,138.865289,0
ML3,-30.237196,135.255273,0
MP1,-29.768166,135.131822,8
MP2,-29.907716,135.14024,12
NO1,-32.162913,136.555504,0
NO2,-32.178747,136.480012,0
NW1,-30.5648932,134.9819397,19
PH1,-29.68092,135.62864,1
TO1,-27.40609,135.30053,0
TO2,-27.28819,134.994516,0
TO3,-27.216871,134.775636,0
WC1,-28.91736,136.344653,0
WH1,-27.338662,133.943086,0
WH2,-27.295842,133.680776,0
WI1,-29.948783,137.947214,0
WI3,-29.9818,137.97718,0
WIL1,-30.634598,134.967261,6
WIL2,-30.605242,134.976536,16
