site,transect,cell,period,latitude,longitude,date,observer,time_started,time_num,wind_conditions,temperature,light_conditions,rain_conditions,hab_category,CBWF,flora,playback,prev_observed,southern_whiteface,yellow-throated_miner,white-winged_fairywren
AC1,A,1,A1,-28.72463249,136.0188377,10/09/2024,DAW,7:10:00,7.17,light,cool,sunny,none,Chenopod shrubland,0,,,Y,0,0,0
AC1,A,2,A2,-28.72462503,136.0211227,10/09/2024,DAW,7:30:00,7.5,light,cool,sunny,none,Chenopod shrubland,0,,,Y,0,0,0
AC1,A,5,A5,-28.72460178,136.0233983,10/09/2024,DAW,8:30:00,8.5,light,cool,sunny,none,Chenopod shrubland,0,,,Y,0,0,0
AC1,B,3,B3,-28.72459267,136.0256935,10/09/2024,NRS,8:00:00,8,light,cool,sunny,none,Chenopod shrubland,0,,,Y,0,0,0
AC1,B,4,B4,-28.72456884,136.02799,10/09/2024,NRS,8:20:00,8.33,light,cool,sunny,none,Chenopod shrubland,0,,,Y,0,0,7
AC1,B,5,B5,-28.728667,136.018911,10/09/2024,NRS,8:40:00,8.67,light,cool,sunny,none,Chenopod shrubland,0,,,Y,0,0,0
AC1,A,3,A3,-28.72869,136.021102,10/09/2024,DAW,7:50:00,7.83,moderate,cool,sunny,none,Low chenopod shrubland,0,,,Y,0,0,0
AC1,A,4,A4,-28.728625,136.023491,10/09/2024,DAW,8:10:00,8.17,moderate,cool,sunny,none,Low chenopod shrubland,0,,,Y,0,0,4
AC1,B,1,B1,-28.728506,136.025788,10/09/2024,NRS,7:20:00,7.33,still,cool,sunny,none,Low chenopod shrubland,0,,,Y,0,0,4
AC1,B,2,B2,-28.728559,136.027969,10/09/2024,NRS,7:40:00,7.67,still,cool,sunny,none,Low chenopod shrubland,0,,,Y,0,0,6
BB1,A,2,A2,-30.413453,135.477876,11/06/2024,NRS,7:42:00,7.7,moderate,cool,sunny,none,Eremophila shrubland,3,Eremophila,Yes,Y,0,0,0
BB1,B,3,B3,-30.411448,135.477938,11/06/2024,DAW,8:05:00,8.08,moderate,cool,sunny,none,Eremophila shrubland,2,Eremophila,No,Y,4,0,0
BB1,B,2,B2,-30.409649,135.477823,11/06/2024,DAW,8:25:00,8.42,moderate,cool,sunny,none,Eremophila shrubland,2,Eremophila,Yes,Y,0,0,0
BB1,A,4,A4,-30.407784,135.477593,11/06/2024,NRS,8:21:00,8.35,moderate,cool,sunny,none,Acacia shrubland,2,Acacia,No,Y,3,0,0
BB1,A,1,A1,-30.405364,135.477875,11/06/2024,NRS,7:22:00,7.37,moderate,cool,sunny,none,Eremophila shrubland,0,,,Y,0,0,0
BB1,A,3,A3,-30.40537403,135.4825,11/06/2024,NRS,8:00:00,8,moderate,cool,sunny,none,Eremophila shrubland,0,,,Y,0,0,0
